Watchlist Scanner,,,,,,,
,,,,,,,
Results,,,,,,,
Symbol,MovAvgExponential,Close,AvgClose1636,Avg300,AvgRisk300,totalRisk300,totalstocksWithAccount
CHAA,9.74,9.75,,,,,
CHCI,4.69,4.89,,,,,
CHNG,20.92,20.58,,,,,
CHPT,16.31,14.69,,,,,
CHRA,5.38,5.69,,,,,
CHRS,14.64,13.9,,,,,
CIDM,1.13,1.07,,,,,
CIFR,3.83,3.37,,,,,
CING,2.58,2.6,,,,,
CIVB,24.81,25.03,,,,,
CKPT,2.79,2.61,,,,,
CLBR,9.66,9.67,,,,,
CLBT,7.02,6.51,,,,,
CLDT,13.65,13.83,,,,,
CLLS,7.74,7.29,,,,,
CLNE,6.2,6.08,,,,,
CLNN,3.58,3,,,,,
CLOV,3.32,3.11,,,,,
CLPR,9.7,9.99,,,,,
CLPS,2.1,2.18,,,,,
CLPT,10.35,9.85,,,,,
CLSD,2.44,2.23,,,,,
CLSK,8.6,8.18,,,,,
CLVR,2.78,2.76,,,,,
CLVS,2.68,2.71,,,,,
CLVT,20.65,18,,,,,
CLXT,2.16,2.12,,,,,
CMAX,7.47,7.32,,,,,
CMCT,7.59,7.52,,,,,
CMLS,10.93,10.97,,,,,
CMPI,2.63,2.535,,,,,
CMPO,7.62,7.49,,,,,
CMRE,12.89,13.38,,,,,
CMRX,6.16,6,,,,,
CMSC,26.61,26.64,,,,,
CNCE,3.15,3.15,,,,,
CNDA,9.73,9.7002,,,,,
CNDT,5.8,5.59,,,,,
CNFR,2.41,2.4,,,,,
CNNB,14.58,14.83,,,,,
CNTB,5.01,5.14,,,,,
CNTX,2.52,2.25,,,,,
COCO,10.7,10.33,,,,,
CODX,9.16,8.86,,,,,
COGT,8.22,8.13,,,,,
COLL,18.78,18.54,,,,,
COMM,10.63,10.18,,,,,
COMP,8.79,8.31,,,,,
COOK,11.13,10.55,,,,,
CORR,3.91,4.3,,,,,
CORS,9.7,9.6954,,,,,
CORT,19.02,18.45,,,,,
COTY,9.62,8.93,,,,,
COUR,23.33,22.11,,,,,
CPAA,9.76,9.74,,,,,
CPAC,6.23,6.31,,,,,
CPLG,15.67,15.68,,,,,
CPLP,15.95,15.9,,,,,
CPNG,24.28,21.21,,,,,
CPRX,6.41,6.24,,,,,
CPSH,3.64,3.53,,,,,
CPUH,9.76,9.75,,,,,
CRBU,12.83,11.61,,,,,
CRCT,22.66,22.42,,,,,
CRDF,6.68,6.86,,,,,
CRDL,1.81,2,,,,,
CREG,6.5,6.86,,,,,
CRGY,14.27,15.13,,,,,
CRHC,9.84,9.83,,,,,
CRIS,3.84,3.65,,,,,
CRMD,4.73,4.63,,,,,
CRNT,2.51,2.46,,,,,
CRNX,25.28,24.01,,,,,
CRON,3.97,3.93,,,,,
CRSR,20.79,20.72,,,,,
CRTD,2.12,1.98,,,,,
CRTX,11.46,10.68,,,,,
CRVS,2.25,2.25,,,,,
CSAN,14.92,15.19,,,,,
CSII,18.74,19.18,,,,,
CSLT,1.95,2.04,,,,,
CSSE,13.68,13.54,,,,,
CSTA,9.78,9.77,,,,,
CSTE,12.26,12.56,,,,,
CSTM,18.98,19.6,,,,,
CSTR,21.6,22.04,,,,,
CTBB,25.35,25.47,,,,,
CTGO,25.65,25.5,,,,,
CTIC,2.26,2.22,,,,,
CTKB,14.97,13.74,,,,,
CTMX,4,3.95,,,,,
CTOS,7.88,7.8,,,,,
CTRA,21.44,22.2,,,,,
CTRE,22.79,22.7,,,,,
CTRM,1.39,1.35,,,,,
CUBA,5.59,5.69,,,,,
